# video_name label
Normal_0029 0
Anomaly_0060 1
Anomaly_0053 1
Normal_0072 0
Anomaly_0065 1
Anomaly_0047 1
Anomaly_0036 1
Anomaly_0011 1
Anomaly_0003 1
Anomaly_0034 1
Anomaly_0033 1
Normal_0065 0
Normal_0047 0
Normal_0012 0
Anomaly_0072 1
Normal_0035 0
Anomaly_0008 1
Anomaly_0029 1
Normal_0036 0
Normal_0049 0
Anomaly_0056 1
Anomaly_0000 1
Anomaly_0076 1
Anomaly_0005 1
Anomaly_0078 1
Anomaly_0062 1
Anomaly_0039 1
Anomaly_0014 1
Normal_0015 0
Normal_0005 0
Anomaly_0070 1
Normal_0059 0
Normal_0017 0
Normal_0034 0
Anomaly_0073 1
Anomaly_0027 1
Normal_0039 0
Anomaly_0057 1
Anomaly_0024 1
Normal_0037 0
Anomaly_0023 1
Normal_0073 0
Anomaly_0050 1
Anomaly_0020 1
Normal_0043 0
Anomaly_0040 1
Normal_0046 0
Anomaly_0055 1
Normal_0045 0
Normal_0000 0
Normal_0030 0
Normal_0070 0
Normal_0078 0
Anomaly_0010 1
Normal_0040 0
Normal_0033 0
Anomaly_0074 1
Anomaly_0032 1
Anomaly_0015 1
Normal_0013 0
Normal_0077 0
Anomaly_0016 1
Anomaly_0037 1
Normal_0076 0
Normal_0057 0
Normal_0018 0
Normal_0050 0
Anomaly_0045 1
Anomaly_0064 1
Normal_0003 0
Anomaly_0049 1
Anomaly_0009 1
Anomaly_0025 1
Anomaly_0043 1
Anomaly_0035 1
Normal_0052 0
Normal_0019 0
Anomaly_0044 1
Anomaly_0063 1
Normal_0075 0
Normal_0064 0
Normal_0061 0
Normal_0021 0
Normal_0014 0
Anomaly_0019 1
Anomaly_0068 1
Anomaly_0054 1
Anomaly_0046 1
Anomaly_0069 1
Normal_0058 0
Anomaly_0042 1
Normal_0060 0
Normal_0056 0
Normal_0054 0
Anomaly_0048 1
Anomaly_0061 1
Normal_0007 0
Normal_0067 0
Anomaly_0002 1
Anomaly_0051 1
Normal_0069 0
Normal_0025 0
Anomaly_0021 1
Normal_0038 0
Normal_0063 0
Normal_0006 0
Anomaly_0017 1
Anomaly_0071 1
Normal_0042 0
Anomaly_0067 1
Normal_0008 0
Normal_0023 0
Normal_0062 0
Normal_0026 0
Anomaly_0028 1
Normal_0079 0
Normal_0048 0
Anomaly_0058 1
Normal_0016 0
Normal_0002 0
Normal_0053 0
Anomaly_0038 1
Normal_0011 0
Normal_0055 0
Anomaly_0004 1
Anomaly_0031 1
Anomaly_0012 1
Anomaly_0059 1
Normal_0066 0
Anomaly_0077 1
Normal_0032 0
Anomaly_0018 1
Anomaly_0079 1
Anomaly_0066 1
Normal_0001 0
Normal_0044 0
Anomaly_0030 1
Normal_0020 0
Normal_0009 0
Anomaly_0013 1
Anomaly_0052 1
Normal_0004 0
Anomaly_0007 1
Normal_0028 0
Normal_0068 0
Anomaly_0022 1
Anomaly_0026 1
Normal_0027 0
Anomaly_0075 1
Normal_0071 0
Normal_0041 0
Anomaly_0001 1
Normal_0010 0
Normal_0074 0
Normal_0031 0
Normal_0024 0
Normal_0022 0
Anomaly_0041 1
Anomaly_0006 1
Normal_0051 0
